"brand","model","regdate","max","min","count","average","median"
"benelli","tnt","2012","16800000","9600000","28","16200000.0","16800000.0"
"benelli","tnt","2015","39500000","3000000","119","29239495.79831933","25000000"
"benelli","tnt","2016","45000000","12345000.0","182","30645549.45054945","31750000.0"
"benelli","tnt","2017","2345678000","7700000","1660","82132262.04819277","22500000.0"
"benelli","tnt","2018","600000000","1000000","2093","24337453.41614907","19800000"
"benelli","tnt","2019","167000000","9000000","1445","26885735.64013841","26000000"
"benelli","tnt","2020","50000000","15500000","656","20291006.097560976","16800000.0"
"benelli","tnt","2021","30000000","25000000","68","29117647.05882353","30000000.0"
"benelli","tnt (nhập khẩu)","2017","30000000","22000000","2","26000000.0","26000000.0"
"benelli","tnt (nhập khẩu)","2018","26000000","21000000","44","21159090.90909091","21000000.0"
"benelli","tnt 125","2007","25000000","25000000","7","25000000.0","25000000"
"benelli","tnt 125","2008","30000000","30000000","1","30000000.0","30000000"
"benelli","tnt 125","2011","19500000","19500000","1","19500000.0","19500000"
"benelli","tnt 125","2013","16800000","16800000","70","16800000.0","16800000.0"
"benelli","tnt 125","2015","18000000","18000000","1","18000000.0","18000000"
"benelli","tnt 125","2016","30000000","16000000","53","19446037.735849056","19990000"
"benelli","tnt 125","2017","2222222000","1111000","2302","21643500.825369243","19800000.0"
"benelli","tnt 125","2018","38000000","1000000","4972","20846377.111826226","20500000.0"
"benelli","tnt 125","2019","35000000","1235000","3875","20701920.774193548","19800000"
"benelli","tnt 125","2020","44900000","16000000","1794","20927864.48160535","19500000.0"
"benelli","tnt 125","2021","20500000","15000000","454","18338325.991189428","19500000.0"
"benelli","tnt 125 (nhập khẩu)","2020","16800000","16800000","83","16800000.0","16800000"
"benelli","tnt 150","2012","22000000","18000000","32","21796875.0","22000000.0"
"benelli","tnt 150","2013","25000000","25000000","1","25000000.0","25000000"
"benelli","tnt 150","2014","25500000","12000000","54","14712962.962962963","14000000.0"
"benelli","tnt 150","2016","32000000","1000000","52","4653846.153846154","1000000.0"
"benelli","tnt 150","2017","32000000","13900000","241","23019045.643153526","23500000"
"benelli","tnt 150","2018","32600000","18900000","619","24870597.73828756","23500000"
"benelli","tnt 150","2019","35500000","14000000","600","22718166.666666668","18800000.0"
"benelli","tnt 150","2020","29500000","18000000","457","23632293.216630198","25000000"
"benelli","tnt 150 (nhập khẩu)","2016","14800000","14800000","2","14800000.0","14800000.0"
"benelli","trk","2012","1000000","1000000","1","1000000.0","1000000"
"benelli","trk","2015","24000000","24000000","1","24000000.0","24000000"
"benelli","trk","2016","30000000","30000000","1","30000000.0","30000000"
"benelli","trk","2017","115000000","22500000","56","103241071.42857143","105000000.0"
"benelli","trk","2018","129000000","26025000","208","111246274.03846154","109800000.0"
"benelli","trk","2019","152000000","90000000","176","128823863.63636364","115000000.0"
"benelli","trk","2020","166000000","109900000","299","153799331.10367894","166000000"
"benelli","trk","2021","150999900","150999900","3","150999900.0","150999900"
"benelli","vlm","2009","22000000","22000000","1","22000000.0","22000000"
"benelli","vlm","2010","9500000","8300000","2","8900000.0","8900000.0"
"benelli","vlm","2011","25000000","17500000","88","18857954.545454547","18800000.0"
"benelli","vlm","2012","22500000","17000000","82","18980487.80487805","19800000.0"
"benelli","vlm","2013","29000000","10000000","113","25690265.486725662","29000000"
"benelli","vlm","2014","29000000","18500000","191","22052879.581151832","18880000"
"benelli","vlm","2015","33400000","19800000","226","27775659.292035397","30800000.0"
"benelli","vlm","2016","35000000","19500000","68","32647058.82352941","33000000.0"
"benelli","vlm","2017","25000000","18500000","182","20107142.85714286","18500000.0"
"benelli","vlm","2018","34500000","34500000","1","34500000.0","34500000"
"benelli","vlm","2020","22000000","12345000","5","16207000.0","12345000"
"benelli","vlm (nhập khẩu)","2014","31000000","23500000","3","26666666.666666668","25500000"
"benelli","vlm (nhập khẩu)","2015","29000000","29000000","1","29000000.0","29000000"
"benelli","vz125","2019","30000000","30000000","1","30000000.0","30000000"
"bmw","c400gt","1997","34000000","34000000","14","34000000.0","34000000.0"
"bmw","c400gt","2000","5800000","5800000","1","5800000.0","5800000"
"bmw","c400gt","2008","3800000","3800000","1","3800000.0","3800000"
"bmw","c400gt","2014","2200000","2200000","44","2200000.0","2200000.0"
"bmw","c400gt","2017","1200000","1200000","1","1200000.0","1200000"
"bmw","c400gt","2018","10000000","10000000","1","10000000.0","10000000"
"bmw","c400gt","2019","290000000","3300000","819","235853968.25396827","250000000"
"bmw","c400gt","2020","269000000","30000000","163","245907975.4601227","243000000"
"bmw","c400gt","2021","255000000","2000000","92","55973912.83695652","2000000.0"
"bmw","c400x","1982","6700000","6700000","55","6700000.0","6700000"
